X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,103 pts LE smooth of B,103 pts LE smooth of C,103 pts LE smooth of D,103 pts LE smooth of E,103 pts LE smooth of F,103 pts LE smooth of G,103 pts LE smooth of H,103 pts LE smooth of I,103 pts LE smooth of J,103 pts LE smooth of K,103 pts LE smooth of L,103 pts LE smooth of M,103 pts LE smooth of N,103 pts LW smooth of O,103 pts LE smooth of P,103 pts LE smooth of Q,103 pts LE smooth of R,103 pts LE smooth of S,103 pts LE smooth of T,103 pts LE smooth of U,103 pts LE smooth of V,103 pts LE smooth of W,103 pts LE smooth of X,103 pts LE smooth of Y,103 pts LE smooth of Z
662.649,752.5,753.75,752.875,753.625,754.75,752.5,756.625,757,758.625,759.25,756,757,756.5,752.625,754,752.75,752.375,752.625,754.125,756.5,755,753.875,755,753.75,756.625,755.538949420184,755.395923077415,755.420362557004,754.20370014198,755.986048457387,757.012421028803,757.92623082755,758.925378209921,758.906549033179,759.017570650213,756.445903371077,756.950144107534,756.596912301356,754.146634595217,755.357559384861,754.720150872001,754.770096132812,756.550510600443,756.635765739236,756.09122234871,755.906846386835,755.996809438434,755.906846386835,756.784164185587,756.060412288759
662.918,752,753.25,756.625,753.625,754.375,756,756.125,759.5,757.75,757.75,755.667,754.875,754,754,753.25,752.875,751.75,757.375,756.125,754.375,755.25,756,755.25,756.875,756.625,755.556351962611,755.370367636256,755.457241659462,754.25794228126,756.069831097468,757.113640978629,758.035396834606,758.94943614949,758.928082994621,759.005132316741,756.463914558788,756.922462324831,756.552132476107,754.20186762872,755.316581983236,754.820290003435,754.947751149067,756.664327789739,756.814895135808,756.308589041152,755.935406945503,756.14126766708,755.935406945503,756.692063784063,756.001205919403
663.188,757.875,753.438,758.125,753.5,756.75,756.75,760,759.063,758.625,760.25,755.333,759.125,756.125,753.375,755.125,758.5,757.25,758.375,758.25,756.75,755.313,758.25,755.313,756.875,759.5,755.572885969486,755.344812755272,755.49219092514,754.309527863918,756.149403946231,757.209671006012,758.139432523518,758.970001973003,758.94649080433,758.991358717107,756.480146211792,756.894455070093,756.507954017252,754.25690255137,755.27565591481,754.916683780707,755.118947317754,756.772927475742,756.987364336852,756.518159354129,755.963122001819,756.281728178614,755.963122001819,756.601145728588,755.943616478757
663.458,754.75,753.625,756.75,753.125,754.125,758.375,757,758.625,755.75,756.625,755,751.875,757.5,752.75,754.063,754.875,753.25,755.625,756.25,755.625,755.375,754.625,755.375,754.625,756,755.58852452881,755.319387734472,755.525084507173,754.358280306388,756.224480371879,757.300173635085,758.237944597494,758.987003170596,758.961706678091,758.976302381574,756.494548416881,756.866245168384,756.46455385133,754.311514614727,755.234968574251,755.00897609646,755.28306402034,756.87590375917,757.152532088273,756.719152031827,755.989895763611,756.417658833479,755.989895763611,756.51179740895,755.887847175224
663.728,756.25,755.75,753.125,753.188,755.25,755.75,757,758.25,760,757.375,756.125,755,758.375,754.625,753,756.375,754.125,758.375,754.875,754,754.625,755.625,754.625,753.5,753,755.60330327549,755.29413168018,755.55593118581,754.404233441394,756.295094927812,757.385198536081,758.330953764343,759.000463393828,758.97375435443,758.959971538281,756.507145776871,756.837852338682,756.421941857451,754.365685660277,755.19455607367,755.097184452809,755.44015313439,756.97328141864,757.310435614416,756.911613066445,756.015742138562,756.549069800524,756.015742138562,756.424063369911,755.833869689563
663.998,756,755,752.875,753.25,755.75,756.25,758.125,754.625,759.125,755.75,756.75,753.625,752.875,755,753.375,752.75,754.5,755.625,754.125,755.75,754.5,757.75,754.5,756,754.375,755.617256655843,755.269086010025,755.584738283496,754.447425006392,756.361286931571,757.464793685319,758.41848312557,759.010407719439,758.982663778635,758.942379385684,756.517966769157,756.809306055846,756.38012421784,754.419398574809,755.15445692468,755.181324900863,755.59027067379,757.065086733087,757.461115340256,757.095593868939,756.040676684588,756.675974428019,756.040676684588,756.337995275239,755.781655481525
664.267,759.25,755.875,759.375,753.25,760.875,763.375,763.5,762.375,759.688,765.125,756.792,764.625,760.625,754.5,758.75,756.5,758.75,758.75,762.625,755.313,756.125,761.375,756.125,758.875,755.375,755.630369468785,755.244381373919,755.611423937147,754.487751313701,756.422878087689,757.538744442735,758.50026508345,759.016847396365,758.988448573202,758.923616325824,756.527010667336,756.780748610548,756.339254312479,754.47243899236,755.11485994739,755.261124123656,755.732959123887,757.151035967723,757.604100357472,757.27051922492,756.064630212846,756.797943053591,756.064630212846,756.253962195738,755.731365861457
664.537,756.125,756.75,755.5,753.25,757.875,757,756.625,758.875,760.25,758.75,756.833,755.625,757.125,754,756.375,754.5,756.5,757.75,756.625,754.875,757.75,755.75,757.75,754.125,756.375,755.642767512574,755.21987096407,755.636205131024,754.525556211853,756.480368449916,757.607650465981,758.576933005,759.019865194193,758.991180010493,758.90356407344,756.534373836097,756.752005322814,756.299033837671,754.525181506582,755.075513401338,755.337195330041,755.869340687262,757.231795485865,757.740505856239,757.437754661518,756.087800990246,756.915894704386,756.087800990246,756.171401606435,755.682608210938
664.807,754.75,757.375,754.5,754.25,753.625,755.25,757.25,756.875,761.75,757.875,756.875,759.625,756.875,754.625,756.125,755.75,754.5,757.25,757.875,757.25,758.875,757.375,758.875,754.125,752.875,755.654421894324,755.195680210586,755.658993633565,754.560731402932,756.533556163162,757.671267871576,758.648191451926,759.019461861167,758.990857617516,758.882302333499,756.540047920797,756.723208184135,756.259615467507,754.57740721192,755.036600320433,755.40925469431,755.998929327802,757.3070616064,757.869833288427,757.596704992834,756.110117049226,757.029373182993,756.110117049226,756.090690268239,755.635554401822
665.076,757.875,756.25,753.875,755.375,757.5,759,759.625,759.5,759.75,760,756.75,758,757.75,754.625,756.625,756.375,756.125,757.875,756.875,760.75,758.75,756.75,758.75,753.75,757.25,755.665312238244,755.171924221257,755.679731009119,754.59320920095,756.582301037661,757.729430423728,758.713827120423,759.015688146297,758.987523315716,758.859926749639,756.544048864402,756.694487098571,756.221136616285,754.628904484689,754.998291774876,755.47707943461,756.121338483069,757.3766116,757.991689002299,757.746902744754,756.131514293434,757.137989286443,756.131514293434,756.012182366298,755.590350697572
665.346,753.5,755.75,753.5,756.5,755.25,755.5,760.375,760,757.375,761.875,758.25,757,757.875,754.625,752.25,753,756.125,754.25,759,757.625,757,757.25,757,755.75,757.25,755.675537899933,755.148447636669,755.698589801654,754.623278911928,756.627002502569,757.782613662899,758.774351558117,759.008548799443,758.981172258216,758.836282141028,756.546433464971,756.665647251062,756.183305280261,754.680034255403,754.960328149519,755.541196360467,756.237536507299,757.44098907158,758.107026414613,757.889540785506,756.152159318483,757.242557969816,756.152159318483,755.935366145582,755.546644788008
665.616,753.125,754.375,754,755.125,754.5,758.125,757,760.125,756.625,758.75,754.25,753.75,753.125,753.375,752.625,753.5,753.75,755.25,758.5,758.125,756.125,754.625,756.125,756.625,753.375,755.685072939177,755.125356317598,755.715512107175,754.650860494749,756.667509479186,757.830634438404,758.829533735849,758.998083720046,758.971830642976,758.811458527096,756.547210060815,756.636811295701,756.146257370028,754.730581182004,754.922874655003,755.60136922421,756.347115283407,757.499953497374,758.21542862914,758.024118544771,756.171973188916,757.342676079029,756.171973188916,755.860614688512,755.50458913374
665.886,755.625,755,754.625,755.188,758.5,761.125,761.125,761,756.875,760.625,757.375,757,754.5,753.375,756,756.25,759.5,760.25,762,758.25,756.75,758.5,756.75,756.875,757.5,755.693935182856,755.102664166454,755.730525348766,754.675995678479,756.703862598435,757.873537333767,758.879395486482,758.984322754527,758.959521123723,758.785460985618,756.546403553657,756.607995194327,756.109982801912,754.780521931839,754.885954806706,755.657625836586,756.450135418366,757.553538518359,758.316944233705,758.150708599972,756.190955608919,757.438354527301,756.190955608919,755.788008102491,755.4641624551
