X	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
60.775025	605	600	626	601	598	607	595	593	589	585	599	588	572	574	584	644	625	664	668	655	628	643	650	587	593
61.22487	607	617	619	619	585	605	587	584	595	604	590	607	596	591	599	623	637	642	670	635	627	633	655	590	612
61.67468	605	611	607	631	599	602	580	586	584	595	595	600	574	609	577	631	645	661	656	621	640	640	649	609	607
62.124455	606	598	592	598	597	615	604	595	585	596	578	596	588	572	581	629	633	651	668	669	636	645	663	585	581
62.574194	602	616	626	603	606	595	584	600	582	589	601	602	576	588	593	627	640	650	669	644	638	637	640	582	603
63.023898	619	601	615	609	596	598	587	603	592	595	588	602	567	592	604	631	640	653	688	644	646	654	643	599	604
63.473566	611	641	613	626	609	592	594	587	593	604	592	597	591	575	597	635	624	627	651	653	648	645	646	591	613
63.923199	595	619	639	602	619	624	591	597	587	595	584	587	588	589	596	639	638	656	669	625	651	651	647	591	606
64.372797	595	612	605	621	631	607	578	600	585	584	604	578	583	597	586	617	647	657	681	649	632	654	668	605	606
64.822359	629	634	640	618	605	592	594	586	595	605	606	600	589	593	620	632	626	646	697	648	640	648	654	587	586
65.271886	606	610	608	632	617	615	581	574	589	603	586	585	593	588	609	645	630	651	695	644	642	668	657	581	620
65.721378	615	628	611	594	602	601	595	589	608	584	607	585	594	601	599	640	638	668	695	629	623	641	652	598	604
66.170834	618	606	631	608	612	609	598	611	588	601	611	588	570	600	601	650	640	658	667	640	626	630	669	613	575
66.620255	604	619	635	621	587	604	595	589	580	615	596	602	579	606	611	638	651	652	668	664	645	668	643	597	591
67.069641	615	634	608	622	607	614	595	611	586	607	591	607	584	618	598	634	650	649	665	643	653	653	672	603	600
67.518991	626	620	637	610	612	612	606	611	622	613	605	588	580	610	592	645	662	656	694	653	645	657	662	617	611
67.968306	618	614	635	639	600	613	600	612	593	614	598	598	593	605	606	663	674	674	686	659	645	663	663	593	624
68.417586	607	628	638	622	621	611	607	606	617	606	605	609	585	610	614	641	667	643	703	651	654	663	653	618	625
68.86683	633	637	640	629	633	632	593	603	611	611	611	615	607	607	625	651	679	670	699	657	659	662	681	610	637
69.316039	613	653	665	645	626	644	615	611	609	617	612	615	615	616	627	659	658	675	690	670	670	665	672	597	618
69.765212	634	655	656	637	657	641	616	622	608	628	611	626	618	613	623	663	659	661	697	648	655	682	680	634	633
70.21435	642	636	665	670	645	651	620	645	604	641	610	619	611	635	628	660	640	676	709	677	653	684	665	618	642
70.663453	654	644	671	651	647	631	626	624	615	646	620	618	623	624	630	686	666	668	717	675	666	667	688	644	644
71.112521	656	636	686	643	648	659	623	637	649	623	608	618	613	630	630	709	690	686	737	693	665	672	696	624	653
71.561553	651	664	693	669	670	666	629	655	628	659	640	640	634	622	648	676	681	692	732	683	693	674	687	642	668
72.01055	673	682	689	700	662	682	629	654	652	673	634	628	628	644	649	693	705	714	747	694	690	702	701	640	660
72.459511	673	728	694	717	674	678	651	663	668	680	653	639	640	668	629	712	700	695	764	691	707	715	735	659	681
72.908437	698	725	741	720	703	699	646	664	666	672	649	653	640	678	675	726	723	719	774	734	685	712	737	671	683
73.357328	691	694	735	735	694	711	655	700	682	702	674	679	657	684	675	735	720	715	767	719	736	727	770	657	698
73.806184	727	738	785	747	717	719	664	694	710	703	692	684	660	699	679	767	766	751	787	739	721	758	786	672	735
74.255004	764	765	790	777	753	753	686	740	717	728	664	678	673	693	725	744	774	750	805	750	757	781	780	713	779
74.703789	790	803	849	823	780	766	691	756	720	768	719	711	684	767	738	775	804	764	797	773	772	793	801	716	753
75.152539	820	824	844	834	815	804	710	761	760	782	721	762	732	763	757	823	831	810	851	785	762	769	833	757	805
75.601253	863	854	871	892	819	812	714	814	762	799	746	753	745	768	800	852	859	839	874	791	823	819	864	742	828
76.049932	852	883	931	894	848	879	744	808	768	824	762	772	752	819	786	904	878	850	889	830	841	870	891	735	870
76.498576	902	905	937	956	854	882	743	851	800	863	813	781	797	838	884	921	919	843	931	828	854	886	878	777	913
76.947184	892	955	984	959	911	914	782	886	811	858	827	846	822	876	896	986	940	892	954	875	896	877	917	805	938
77.395757	922	970	975	994	937	944	804	897	804	873	845	858	832	919	938	984	971	939	932	906	899	910	949	811	971
77.844295	939	985	1064	1052	956	1018	814	923	849	897	880	866	843	896	929	958	979	915	971	927	871	944	977	822	956
78.292798	984	1006	1051	1029	997	1026	798	922	850	915	931	867	872	922	942	956	1014	985	968	915	919	925	934	802	998
78.741265	980	1028	1054	1035	995	1019	806	938	806	965	922	893	907	905	942	1006	1025	987	985	950	928	929	910	780	966
79.189697	955	993	1020	980	1010	1006	833	968	831	945	906	870	876	916	979	977	985	1027	996	937	911	939	943	782	994
79.638094	972	1000	1009	1017	1036	1035	822	923	805	866	933	855	911	898	985	985	969	992	960	920	916	924	916	777	975
80.086455	907	972	1011	973	1011	999	832	890	781	877	893	837	867	873	901	942	930	960	947	880	861	888	909	755	895
80.534781	877	915	1026	946	1004	1011	824	898	760	874	890	830	869	822	886	884	922	967	905	881	885	871	837	755	901
80.983072	849	896	958	950	983	944	785	869	781	839	842	824	829	824	850	882	874	914	887	849	811	835	871	761	870
81.431328	845	901	903	858	912	899	806	839	755	818	828	775	781	790	836	872	875	885	853	867	796	814	832	735	841
81.879548	828	839	857	885	856	871	792	798	710	785	801	751	767	753	790	805	827	843	829	792	791	794	810	709	804
82.327733	764	808	858	830	856	848	771	790	723	749	764	744	727	746	741	772	789	805	780	781	748	797	760	692	764
82.775883	736	778	818	794	813	812	763	723	691	706	745	714	698	715	740	750	766	790	793	747	738	747	768	682	736
83.223997	715	738	772	777	785	759	729	703	689	678	722	697	701	676	716	710	728	751	777	728	719	715	744	651	717
83.672077	677	728	750	731	754	743	691	722	654	693	708	659	652	661	696	704	724	753	756	713	710	718	726	664	702
84.120121	649	677	709	697	726	727	686	662	656	650	661	651	627	652	689	696	693	727	741	693	678	714	687	634	691
84.568129	661	693	687	693	696	710	690	657	633	648	677	629	645	639	658	666	692	706	723	698	679	691	699	637	640
85.016103	659	661	671	682	657	678	656	619	616	641	651	624	645	633	659	673	675	679	717	692	662	689	717	630	626
85.464041	621	648	670	662	647	664	638	624	620	634	650	610	608	633	631	661	680	674	683	670	668	670	710	629	640
85.911944	627	645	646	645	645	666	617	608	609	634	642	613	606	621	613	635	648	680	705	672	653	661	648	624	634
86.359812	620	635	636	641	637	619	616	602	599	620	612	619	605	622	617	639	654	661	710	667	637	664	659	623	617
86.807644	631	644	637	627	632	647	603	625	580	618	610	594	601	607	608	640	660	662	668	682	647	663	644	598	616
87.255442	613	604	620	614	623	643	614	594	606	609	615	596	599	603	589	649	642	661	670	656	659	660	652	592	618
87.703204	611	617	640	620	614	610	585	605	596	596	590	603	588	591	598	625	636	661	680	647	672	642	666	585	596
88.150931	617	626	621	602	604	613	596	614	593	605	581	595	586	599	606	648	647	660	674	643	638	639	646	595	593
88.598622	616	617	608	607	620	602	602	586	604	603	587	586	595	569	591	627	617	639	667	632	634	650	651	592	589
89.046278	600	623	612	605	608	598	584	591	563	591	587	602	582	601	593	619	650	633	687	656	630	641	642	586	604
89.4939	614	614	608	618	585	604	598	589	583	581	586	581	596	601	598	618	649	633	665	637	643	621	638	600	617
89.941485	589	622	591	595	594	605	576	595	585	593	582	592	592	617	604	622	617	659	679	635	656	640	647	605	598
90.389036	591	616	616	611	589	580	574	593	574	602	578	593	580	580	599	638	615	631	719	652	636	633	652	585	585
90.836552	594	598	608	621	587	582	596	574	580	594	573	583	583	591	574	617	633	635	667	636	628	642	638	597	599
91.284032	590	599	599	599	590	606	579	578	590	590	578	587	567	577	583	602	634	649	682	661	645	640	647	574	600
91.731477	581	602	601	624	605	586	588	577	561	597	587	601	587	592	584	623	614	646	709	649	633	633	652	580	584
92.178887	591	602	591	602	584	585	576	578	569	583	567	602	578	583	573	620	651	645	678	624	641	646	623	594	592
92.626261	596	603	596	593	598	612	583	590	573	584	568	589	567	580	577	631	614	622	655	653	648	649	655	586	573
93.0736	590	615	609	607	586	590	572	569	590	590	587	581	572	574	565	624	618	632	658	642	629	622	613	591	586
93.520905	600	610	591	602	560	602	590	557	582	578	578	577	559	585	597	608	617	656	676	638	647	633	642	598	582
93.968174	599	585	614	600	572	606	586	577	578	575	579	585	579	568	588	622	632	640	680	643	619	633	651	587	581
94.415407	589	594	594	598	606	586	577	593	593	571	577	582	586	593	594	602	600	653	671	638	638	630	646	592	596
94.862606	584	597	616	583	583	612	578	573	588	598	598	564	559	572	577	595	624	663	653	649	635	640	632	589	582
95.309769	613	601	607	608	595	597	579	580	580	606	573	567	604	585	576	609	621	626	672	656	629	625	640	599	601
95.756897	593	599	581	576	600	588	579	601	588	581	588	579	559	571	580	602	640	636	654	646	634	654	638	582	599
96.20399	598	608	574	607	575	600	571	561	563	587	569	579	571	564	574	615	631	656	664	656	623	635	637	601	593
96.651048	599	597	594	601	612	587	573	564	579	576	582	585	587	578	582	592	614	632	644	639	628	650	642	588	608
97.098071	589	604	595	606	598	593	580	580	575	588	589	570	577	583	590	584	625	628	690	631	650	632	615	598	591
97.545058	594	599	602	614	595	594	583	594	561	589	564	578	574	576	565	637	626	640	658	635	636	626	621	594	575
97.99201	592	594	623	602	594	597	578	581	581	587	571	586	576	571	568	598	616	639	658	648	646	628	634	588	580
98.438928	588	609	597	608	596	579	574	587	564	568	574	579	578	575	584	606	613	631	684	639	645	623	635	584	592
98.885809	600	605	601	582	584	576	590	582	582	580	574	565	572	569	576	627	617	650	665	651	630	635	649	598	609
99.332656	602	597	582	595	581	610	579	592	587	579	577	557	581	570	590	618	633	645	663	646	624	636	639	584	586
99.779468	576	589	591	592	602	604	573	586	594	579	584	576	567	583	572	598	616	644	690	626	634	659	645	577	584
100.226244	604	606	616	632	605	604	575	581	585	578	577	557	576	573	583	628	631	639	655	633	644	626	651	593	583
100.672985	593	607	599	603	587	587	583	584	574	608	599	579	566	591	583	625	624	651	670	644	643	664	641	590	600
101.119691	600	637	612	599	577	613	588	587	595	608	613	575	575	571	578	598	615	627	664	647	621	636	624	580	609
101.566362	611	606	605	590	588	601	576	586	594	586	598	556	579	586	585	621	619	616	683	642	666	628	638	586	604
102.012998	606	607	613	616	617	584	595	601	597	578	581	565	576	577	585	627	619	635	667	640	658	644	640	583	611
102.459598	592	628	607	611	615	594	588	577	594	594	568	586	576	579	596	634	633	636	657	666	625	642	636	577	606
102.906164	590	589	604	623	604	600	591	592	587	580	585	590	572	583	583	601	616	655	655	627	637	633	635	575	583
103.352694	599	618	609	608	602	607	597	579	588	591	587	582	583	584	569	605	624	631	675	647	642	628	644	593	601
103.799189	585	622	614	611	597	626	587	591	581	599	599	582	591	607	584	624	611	652	686	639	656	647	645	592	620
104.245649	621	623	612	620	607	601	575	589	600	592	584	592	590	605	587	622	653	638	679	648	633	674	641	595	600
104.692074	592	624	614	607	603	589	583	596	602	604	607	588	595	574	591	615	622	636	658	636	642	652	650	601	610
105.138464	608	624	636	618	596	599	582	591	611	606	595	600	586	580	567	619	620	639	673	639	655	653	647	584	600
105.584818	624	626	627	622	625	621	581	591	600	604	600	592	580	595	591	636	627	634	657	641	656	628	645	595	600
106.031138	622	613	619	630	631	617	593	606	607	590	598	565	596	587	591	607	624	649	655	630	640	634	655	586	611
106.477422	620	629	651	613	612	595	598	598	613	611	595	581	559	590	575	612	633	667	658	648	632	636	639	628	603
106.923671	625	630	629	613	624	609	606	604	585	612	596	612	568	592	585	595	652	653	690	648	638	637	627	588	610
107.369885	630	638	636	644	644	630	602	616	618	617	582	582	582	592	592	619	636	655	670	643	639	644	666	611	613
107.816064	633	644	642	641	637	624	605	607	607	600	596	591	586	607	601	620	622	639	688	664	637	643	655	591	612
108.262208	609	643	642	648	645	615	609	606	628	606	614	608	580	599	603	631	639	646	673	655	635	655	650	606	614
108.708316	632	630	653	657	646	651	602	625	624	613	627	597	593	600	585	630	637	629	672	648	660	622	643	615	610
109.15439	644	663	686	649	645	627	619	623	633	631	596	599	588	589	623	629	634	657	673	648	631	663	654	618	619
109.600428	632	644	661	638	650	641	595	640	620	623	609	596	604	590	606	636	633	643	680	670	648	645	655	604	604
110.046431	635	652	664	638	625	636	615	635	639	618	607	622	600	604	618	611	656	631	674	659	679	645	665	613	648
