l1,l2,l3,l4,l5,l6,l7,Normalized1,Normalized2,Normalized3,Normalized4,Normalized5,Normalized6,,Normalized7
0,753,412,1530,908,1982,548,0.740585774058577,0.195652173913043,0.496240601503759,0.699530516431925,0.882608695652174,0.835051546391753,4155,1
10,759,397,1496,945,1955,554,0.765690376569038,0.114130434782609,0.368421052631579,0.873239436619718,0.853260869565217,0.865979381443299,4015,0.948128936643201
20,744,416,1477,908,1849,543,0.702928870292887,0.217391304347826,0.296992481203007,0.699530516431925,0.73804347826087,0.809278350515464,4065,0.966654316413486
30,682,425,1482,887,1699,515,0.443514644351464,0.266304347826087,0.315789473684211,0.60093896713615,0.575,0.664948453608247,3909,0.908855131530196
40,672,486,1451,860,1626,528,0.401673640167364,0.597826086956522,0.199248120300752,0.474178403755869,0.495652173913044,0.731958762886598,3793,0.865876250463134
50,652,457,1492,848,1525,481,0.317991631799163,0.440217391304348,0.353383458646617,0.417840375586855,0.385869565217391,0.489690721649485,3636,0.807706557984439
60,639,502,1468,841,1427,473,0.263598326359833,0.684782608695652,0.263157894736842,0.384976525821596,0.279347826086957,0.448453608247423,3741,0.846609855502038
70,612,520,1532,808,1289,442,0.150627615062761,0.782608695652174,0.503759398496241,0.230046948356808,0.129347826086957,0.288659793814433,3957,0.92663949610967
80,599,516,1458,807,1213,432,0.096234309623431,0.760869565217391,0.225563909774436,0.225352112676056,0.0467391304347826,0.237113402061856,3958,0.927010003705076
90,579,549,1459,794,1260,405,0.0125523012552301,0.940217391304348,0.229323308270677,0.164319248826291,0.0978260869565217,0.0979381443298969,4008,0.945535383475361
100,584,513,1398,778,1170,435,0.0334728033472803,0.744565217391304,0,0.0892018779342723,0,0.252577319587629,3906,0.907743608743979
110,606,514,1423,793,1192,405,0.125523012552301,0.75,0.093984962406015,0.15962441314554,0.0239130434782609,0.0979381443298969,3924,0.914412745461282
120,601,487,1442,759,1274,422,0.104602510460251,0.603260869565217,0.165413533834586,0,0.11304347826087,0.185567010309278,3875,0.896257873286402
130,599,479,1461,812,1434,462,0.096234309623431,0.559782608695652,0.236842105263158,0.248826291079812,0.28695652173913,0.391752577319588,3944,0.921822897369396
140,653,470,1515,858,1577,456,0.322175732217573,0.510869565217391,0.43984962406015,0.464788732394366,0.442391304347826,0.360824742268041,4119,0.986661726565395
150,723,429,1558,891,1782,516,0.615062761506276,0.28804347826087,0.601503759398496,0.619718309859155,0.665217391304348,0.670103092783505,3981,0.935531678399407
160,710,406,1524,917,1980,572,0.560669456066946,0.16304347826087,0.473684210526316,0.741784037558685,0.880434782608696,0.958762886597938,3682,0.824749907373101
170,713,376,1561,934,2013,551,0.573221757322176,0,0.612781954887218,0.821596244131455,0.916304347826087,0.850515463917526,3682,0.824749907373101
180,745,405,1604,929,2032,557,0.707112970711297,0.157608695652174,0.774436090225564,0.7981220657277,0.93695652173913,0.881443298969072,3396,0.718784735087069
190,789,422,1561,910,2037,557,0.891213389121339,0.25,0.612781954887218,0.708920187793427,0.942391304347826,0.881443298969072,3492,0.754353464246017
200,749,387,1559,972,1952,549,0.723849372384937,0.0597826086956522,0.605263157894737,1,0.85,0.84020618556701,3811,0.872545387180437
210,734,411,1539,931,1826,511,0.661087866108787,0.190217391304348,0.530075187969925,0.807511737089202,0.71304347826087,0.644329896907217,3733,0.843645794738792
220,699,449,1569,895,1631,498,0.514644351464435,0.396739130434783,0.642857142857143,0.63849765258216,0.501086956521739,0.577319587628866,3555,0.777695442756577
230,689,461,1524,869,1535,474,0.472803347280335,0.46195652173913,0.473684210526316,0.516431924882629,0.396739130434783,0.45360824742268,3644,0.810670618747684
240,640,503,1606,857,1403,439,0.267782426778243,0.690217391304348,0.781954887218045,0.460093896713615,0.253260869565217,0.27319587628866,3649,0.812523156724713
250,602,511,1602,825,1303,442,0.108786610878661,0.733695652173913,0.766917293233083,0.309859154929578,0.144565217391304,0.288659793814433,3737,0.845127825120415
260,619,528,1598,795,1251,438,0.179916317991632,0.826086956521739,0.75187969924812,0.169014084507042,0.0880434782608696,0.268041237113402,1576,0.0444609114486847
270,576,543,1581,775,1209,386,0,0.907608695652174,0.68796992481203,0.0751173708920188,0.0423913043478261,0,1532,0.0281585772508336
280,614,560,1546,771,1203,420,0.158995815899582,1,0.556390977443609,0.0563380281690141,0.0358695652173913,0.175257731958763,1501,0.0166728417932568
290,589,510,1568,804,1238,439,0.0543933054393305,0.728260869565217,0.639097744360902,0.211267605633803,0.0739130434782609,0.27319587628866,1507,0.018895887365691
300,615,484,1517,784,1303,435,0.163179916317992,0.58695652173913,0.447368421052632,0.117370892018779,0.144565217391304,0.252577319587629,1456,0
310,648,470,1529,819,1397,445,0.301255230125523,0.510869565217391,0.492481203007519,0.28169014084507,0.246739130434783,0.304123711340206,1458,7.41015190811412E-4
320,674,436,1524,852,1604,491,0.410041841004184,0.326086956521739,0.473684210526316,0.436619718309859,0.471739130434783,0.541237113402062,1460,0.00148203038162282
330,720,427,1629,893,1854,489,0.602510460251046,0.277173913043478,0.868421052631579,0.629107981220657,0.743478260869565,0.530927835051546,1536,0.0296406076324565
340,729,407,1598,953,1974,541,0.640167364016736,0.168478260869565,0.75187969924812,0.910798122065728,0.873913043478261,0.798969072164948,1577,0.0448314190440904
350,759,409,1664,951,2090,580,0.765690376569038,0.179347826086957,1,0.901408450704225,1,1,1585,0.047795479807336
360,815,378,1622,947,2074,549,1,0.0108695652173913,0.842105263157895,0.882629107981221,0.982608695652174,0.84020618556701,1591,0.0500185253797703
