2380 f  =    0.369507 THz     2.321684 2PiTHz   12.325443 cm-1     1.528159 meV
             X         Y         Z           dx          dy          dz
      0.949326  1.540975  2.124370     0.000452    0.000793    0.006217
      0.947523  1.538548  5.286904    -0.000140   -0.000238    0.006137
      3.663182 -0.026089  2.127645     0.001917    0.000002    0.007455
      3.657255 -0.026215  5.289418    -0.000680    0.000011    0.007370
      6.377876 -1.594475  2.135995     0.002965   -0.000509    0.010653
      6.368638 -1.591715  5.296917    -0.000964    0.000076    0.010534
      9.093946 -3.163853  2.149007     0.003241   -0.000611    0.014635
      9.083038 -3.158678  5.308123    -0.000967   -0.000033    0.014558
     11.810915 -4.733572  2.162716     0.002516   -0.000244    0.017994
     11.802083 -4.727858  5.320439    -0.000754   -0.000238    0.018082
     14.527762 -6.303052  2.171494     0.001205    0.000432    0.019841
     14.525090 -6.299197  5.328501    -0.000465   -0.000456    0.020052
     17.244522 -7.871665  2.171314    -0.000235    0.001263    0.019836
     17.249587 -7.871886  5.328269    -0.000159   -0.000633    0.020046
     19.961968 -9.439964  2.162124    -0.001473    0.002061    0.017979
     19.972137 -9.444075  5.319658     0.000172   -0.000774    0.018067
     22.679679-11.008242  2.147714    -0.002149    0.002505    0.014618
     22.690685-11.013975  5.306954     0.000451   -0.000855    0.014541
     25.397007-12.576027  2.134662    -0.001920    0.002318    0.010640
     25.404632-12.581350  5.295319     0.000538   -0.000802    0.010524
     28.112806-14.142752  2.126582    -0.000955    0.001665    0.007456
     28.115623-14.146810  5.288809     0.000337   -0.000586    0.007371
      0.950441  4.675520  2.129552     0.000237    0.002171    0.008343
      0.947818  4.668345  5.291510     0.000028   -0.000640    0.008254
      3.663988  3.109231  2.130416     0.001750    0.001295    0.008338
      3.657616  3.103754  5.292316    -0.000568   -0.000290    0.008246
      6.377916  1.542139  2.136227     0.002967    0.000517    0.010646
      6.368566  1.538956  5.297143    -0.000968   -0.000059    0.010528
      9.093232 -0.026219  2.146298     0.003515    0.000007    0.014278
      9.082014 -0.026518  5.305311    -0.001046    0.000005    0.014189
     11.809793 -1.595725  2.158210     0.003103   -0.000079    0.017914
     11.799705 -1.593418  5.315500    -0.000872   -0.000102    0.017968
     14.526590 -3.165872  2.167427     0.001944    0.000284    0.020469
     14.521572 -3.162472  5.323648    -0.000603   -0.000307    0.020674
     17.243835 -4.735620  2.170736     0.000570    0.001001    0.021418
     17.245361 -4.733836  5.326226    -0.000303   -0.000525    0.021658
     19.961989 -6.304239  2.166601    -0.000737    0.001831    0.020458
     19.968458 -6.306752  5.322463     0.000035   -0.000673    0.020663
     22.679985 -7.872005  2.156267    -0.001627    0.002653    0.017900
     22.688283 -7.879097  5.313341     0.000343   -0.000800    0.017953
     25.397755 -9.440281  2.143532    -0.001754    0.003050    0.014269
     25.403746 -9.449096  5.302747     0.000517   -0.000896    0.014180
     28.113864-11.007835  2.133801    -0.001039    0.002831    0.010650
     28.115608-11.016204  5.295100     0.000422   -0.000864    0.010533
      0.951912  7.811642  2.139986    -0.000063    0.002929    0.011897
      0.948561  7.800641  5.301033     0.000226   -0.000776    0.011784
      3.665586  6.244885  2.138736     0.001299    0.002266    0.010803
      3.658787  6.235268  5.300232    -0.000302   -0.000527    0.010693
      6.379342  4.678523  2.142405     0.002565    0.001413    0.011887
      6.369843  4.670581  5.302974    -0.000791   -0.000190    0.011774
      9.094092  3.111423  2.149599     0.003247    0.000623    0.014636
      9.083042  3.105737  5.308701    -0.000975    0.000042    0.014558
     11.809891  1.543317  2.158547     0.003106    0.000099    0.017921
     11.799777  1.540369  5.315840    -0.000876    0.000106    0.017975
     14.526161 -0.026151  2.165735     0.002227    0.000013    0.020736
     14.520288 -0.026473  5.321560    -0.000648    0.000000    0.020938
     17.243610 -1.596468  2.169110     0.001049    0.000396    0.022433
     17.242829 -1.595492  5.323956    -0.000367   -0.000209    0.022683
     19.962581 -3.166288  2.168510    -0.000197    0.001114    0.022425
     19.965108 -3.166938  5.323117     0.000003   -0.000419    0.022675
     22.681227 -4.734691  2.163629    -0.001114    0.001939    0.020717
